timestamp	measurement_desc	pi_value1	plant_name
2018-12-26 16:00:00	Fos_Oil_Deodorization_Out	2.34	Primavera do Leste
2018-12-27 08:00:00	Fos_Oil_Deodorization_Out	3.20	Primavera do Leste
2018-12-29 16:00:00	Fos_Oil_Deodorization_Out	6.00	Primavera do Leste
2018-12-29 00:00:00	Fos_Oil_Deodorization_Out	3.40	Primavera do Leste
2018-12-30 08:00:00	Fos_Oil_Deodorization_Out	3.85	Primavera do Leste
2018-12-30 16:00:00	Fos_Oil_Deodorization_Out	2.91	Primavera do Leste
2018-12-30 00:00:00	Fos_Oil_Deodorization_Out	3.24	Primavera do Leste
2018-12-31 16:00:00	Fos_Oil_Deodorization_Out	2.87	Primavera do Leste
2018-12-31 21:00:00	Fos_Oil_Deodorization_Out	1.71	Primavera do Leste
2019-01-01 08:00:00	Fos_Oil_Deodorization_Out	3.52	Primavera do Leste
2019-01-01 16:00:00	Fos_Oil_Deodorization_Out	1.47	Primavera do Leste
2019-01-01 00:00:00	Fos_Oil_Deodorization_Out	2.06	Primavera do Leste
2019-01-02 08:00:00	Fos_Oil_Deodorization_Out	1.37	Primavera do Leste
2019-01-02 16:00:00	Fos_Oil_Deodorization_Out	1.62	Primavera do Leste
2019-01-02 00:00:00	Fos_Oil_Deodorization_Out	1.09	Primavera do Leste
2018-02-03 08:00:00	Fos_Oil_Deodorization_Out	1.84	Primavera do Leste
2018-02-03 16:00:00	Fos_Oil_Deodorization_Out	1.84	Primavera do Leste
2019-01-03 00:00:00	Fos_Oil_Deodorization_Out	1.59	Primavera do Leste
2019-01-04 08:00:00	Fos_Oil_Deodorization_Out	2.25	Primavera do Leste
2019-01-04 16:00:00	Fos_Oil_Deodorization_Out	1.24	Primavera do Leste
2019-01-04 00:00:00	Fos_Oil_Deodorization_Out	1.72	Primavera do Leste
2019-01-05 08:00:00	Fos_Oil_Deodorization_Out	1.61	Primavera do Leste
2019-01-05 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-05 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-06 08:00:00	Fos_Oil_Deodorization_Out	1.03	Primavera do Leste
2019-01-06 16:00:00	Fos_Oil_Deodorization_Out	1.08	Primavera do Leste
2019-01-07 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-08 08:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-08 16:00:00	Fos_Oil_Deodorization_Out	1.79	Primavera do Leste
2019-01-09 08:00:00	Fos_Oil_Deodorization_Out	1.46	Primavera do Leste
2019-01-09 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-09 00:00:00	Fos_Oil_Deodorization_Out	2.62	Primavera do Leste
2019-01-10 08:00:00	Fos_Oil_Deodorization_Out	2.64	Primavera do Leste
2019-01-10 16:00:00	Fos_Oil_Deodorization_Out	2.15	Primavera do Leste
2019-01-10 00:00:00	Fos_Oil_Deodorization_Out	2.61	Primavera do Leste
2019-01-11 08:00:00	Fos_Oil_Deodorization_Out	2.79	Primavera do Leste
2019-01-11 16:00:00	Fos_Oil_Deodorization_Out	2.58	Primavera do Leste
2019-01-11 00:00:00	Fos_Oil_Deodorization_Out	3.14	Primavera do Leste
2019-01-12 08:00:00	Fos_Oil_Deodorization_Out	3.70	Primavera do Leste
2019-01-12 16:00:00	Fos_Oil_Deodorization_Out	2.68	Primavera do Leste
2019-01-12 00:00:00	Fos_Oil_Deodorization_Out	2.62	Primavera do Leste
2019-01-13 08:00:00	Fos_Oil_Deodorization_Out	2.04	Primavera do Leste
2019-01-13 16:00:00	Fos_Oil_Deodorization_Out	3.51	Primavera do Leste
2019-01-13 00:00:00	Fos_Oil_Deodorization_Out	3.50	Primavera do Leste
2019-01-14 08:00:00	Fos_Oil_Deodorization_Out	7.90	Primavera do Leste
2019-01-14 16:00:00	Fos_Oil_Deodorization_Out	3.31	Primavera do Leste
2019-01-14 00:00:00	Fos_Oil_Deodorization_Out	6.99	Primavera do Leste
2019-01-15 08:00:00	Fos_Oil_Deodorization_Out	3.43	Primavera do Leste
2019-01-15 16:00:00	Fos_Oil_Deodorization_Out	3.56	Primavera do Leste
2019-01-15 00:00:00	Fos_Oil_Deodorization_Out	2.43	Primavera do Leste
2019-01-16 00:00:00	Fos_Oil_Deodorization_Out	4.52	Primavera do Leste
2019-01-17 08:00:00	Fos_Oil_Deodorization_Out	5.62	Primavera do Leste
2019-01-17 00:00:00	Fos_Oil_Deodorization_Out	2.23	Primavera do Leste
2019-01-18 08:00:00	Fos_Oil_Deodorization_Out	8.15	Primavera do Leste
2019-01-19 00:00:00	Fos_Oil_Deodorization_Out	4.15	Primavera do Leste
2019-01-19 08:00:00	Fos_Oil_Deodorization_Out	9.56	Primavera do Leste
2019-01-20 08:00:00	Fos_Oil_Deodorization_Out	3.35	Primavera do Leste
2019-01-21 08:00:00	Fos_Oil_Deodorization_Out	1.45	Primavera do Leste
2019-01-21 16:00:00	Fos_Oil_Deodorization_Out	1.64	Primavera do Leste
2018-01-22 08:00:00	Fos_Oil_Deodorization_Out	1.96	Primavera do Leste
2019-01-22 16:00:00	Fos_Oil_Deodorization_Out	5.00	Primavera do Leste
2019-01-22 00:00:00	Fos_Oil_Deodorization_Out	4.95	Primavera do Leste
2019-01-23 17:00:00	Fos_Oil_Deodorization_Out	1.44	Primavera do Leste
2019-01-24 08:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-24 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-25 08:00:00	Fos_Oil_Deodorization_Out	1.06	Primavera do Leste
2019-01-25 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-25 00:00:00	Fos_Oil_Deodorization_Out	1.50	Primavera do Leste
2019-01-26 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-26 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-27 16:00:00	Fos_Oil_Deodorization_Out	1.26	Primavera do Leste
2019-01-27 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-28 16:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-28 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-29 08:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-01-29 16:00:00	Fos_Oil_Deodorization_Out	2.88	Primavera do Leste
2019-01-29 00:00:00	Fos_Oil_Deodorization_Out	1.62	Primavera do Leste
2019-01-30 08:00:00	Fos_Oil_Deodorization_Out	1.06	Primavera do Leste
2019-01-30 16:00:00	Fos_Oil_Deodorization_Out	1.41	Primavera do Leste
2019-01-30 00:00:00	Fos_Oil_Deodorization_Out	2.40	Primavera do Leste
2019-01-31 08:00:00	Fos_Oil_Deodorization_Out	6.06	Primavera do Leste
2019-01-31 16:00:00	Fos_Oil_Deodorization_Out	1.70	Primavera do Leste
2019-01-31 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-02-01 08:00:00	Fos_Oil_Deodorization_Out	2.36	Primavera do Leste
2019-02-01 20:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-02-01 00:00:00	Fos_Oil_Deodorization_Out	1.78	Primavera do Leste
2019-02-02 08:00:00	Fos_Oil_Deodorization_Out	2.17	Primavera do Leste
2019-02-02 20:00:00	Fos_Oil_Deodorization_Out	2.43	Primavera do Leste
2019-02-02 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-02-03 08:00:00	Fos_Oil_Deodorization_Out	1.32	Primavera do Leste
2019-02-03 16:00:00	Fos_Oil_Deodorization_Out	1.65	Primavera do Leste
2019-02-03 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-02-04 08:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
2019-02-04 16:00:00	Fos_Oil_Deodorization_Out	2.09	Primavera do Leste
2019-02-04 00:00:00	Fos_Oil_Deodorization_Out	4.03	Primavera do Leste
2019-02-05 08:00:00	Fos_Oil_Deodorization_Out	4.22	Primavera do Leste
2019-02-05 16:00:00	Fos_Oil_Deodorization_Out	3.15	Primavera do Leste
2019-02-05 00:00:00	Fos_Oil_Deodorization_Out	3.03	Primavera do Leste
2019-02-06 08:00:00	Fos_Oil_Deodorization_Out	2.59	Primavera do Leste
2019-02-06 16:00:00	Fos_Oil_Deodorization_Out	1.46	Primavera do Leste
2019-02-06 00:00:00	Fos_Oil_Deodorization_Out	1.00	Primavera do Leste
