timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/07/2019 00:00;1,48;834;798;0,2;7,6;131;0,05;1,5;50;11;1
11/07/2019 02:00;0;0;0;0;7,8;135;0,05;1,6;45;9,9;0,9
11/07/2019 04:00;0;No events found,;0;0;7,4;136;0,05;1,8;100;11;1,4
11/07/2019 06:00;0;No events found,;0;0;7,1;140;0,05;1,5;50;11;1
11/07/2019 08:00;1,64;834;610;0,2;7,6;150;0,05;1,5;49;11;1,1
11/07/2019 10:00;0;0;0;0;6,8;246;0,05;1,5;52;11;1,2
11/07/2019 12:00;0;0;0;0;7,4;164;0,05;1,5;74;12;1,3
11/07/2019 14:00;0;0;0;0;7,8;127;0,05;1,1;46;9,9;0,9
11/07/2019 16:00;1,63;814;730;0,1;7,2;157;0,05;1,6;54;9,9;1
11/07/2019 18:00;0;0;0;0;7,6;152;0,05;1,5;57;9,9;0,9
11/07/2019 20:00;0;0;0;0;7,3;155;0,05;1,6;51;9,9;0,9
11/07/2019 22:00;0;0;0;0;7,4;153;0,05;1,6;46;10;0,9
11/08/2019 00:00;1,59;823;790;0,1;7,5;150;0,05;1,5;58;9,9;0,9
11/08/2019 02:00;0;0;0;0;7,6;105;0,05;2;97;11;0,9
11/08/2019 04:00;0;0;0;0;7,8;119;0,05;2,5;52;9,9;0,9
11/08/2019 06:00;0;No events found,;0;0;7,6;146;0,05;2,5;60;9,9;0,9
11/08/2019 08:00;1,67;838;752;0;8,6;156;0,05;1,5;70;9,9;0,9
11/08/2019 10:00;0;0;0;0;8;141;0,05;2,1;113;9,6;0,8
11/08/2019 12:00;0;0;0;0;8;130;0,05;1,8;33;9,9;1,1
11/08/2019 14:00;0;0;0;0;7,9;151;0,05;2,1;41;9,5;0,9
11/08/2019 16:00;1,51;856;782;0;8;184;0,05;1,7;57;11;0,9
11/08/2019 18:00;0;0;0;0;8,3;178;0,05;1,6;45;9,5;0,8
11/08/2019 20:00;0;0;0;0;7,6;183;0,06;1,5;64;17;1,7
