pi_timestamp	pi_value1	measurement_key
2019-09-28 03:00:00	20.51	fat_beans_L2
2019-03-29 03:00:00	0.32	fat_white_meal_L2
2020-04-06 05:00:00	6.98	moisture_hull_L1
2019-08-19 09:00:00	46.0	protein_finished_meal_L1
2019-11-03 15:00:00	12.16	moisture_beans_L2
2019-12-14 13:00:00	33.13	protein_beans_L2
2019-08-26 17:00:00	1.0	fat_finished_meal_L1
2019-10-16 01:00:00	33.81	protein_beans_L2
2019-01-15 05:00:00	21.33	fat_beans_L2
2019-09-29 01:00:00	1.41	fat_finished_meal_L2
2019-11-10 19:00:00	7.03	moisture_white_meal_L1
2020-03-31 09:00:00	0.57	fat_white_meal_L2
2019-11-02 19:00:00	9.02	moisture_white_meal_L1
2019-04-09 15:00:00	33.13	protein_beans
2020-01-29 17:00:00	33.5	protein_beans
2019-10-09 09:00:00	12.255	moisture_beans
2020-01-19 11:00:00	2.68	fiber_finished_meal_L1
2019-10-05 09:00:00	1.25	fat_hull_L2
2019-07-09 07:00:00	1.12	fat_hull_L1
2019-09-14 13:00:00	44.29	protein_finished_meal_L1
2019-07-30 11:00:00	19.34	fat_beans_L2
2019-07-16 05:00:00	11.47	moisture_beans
2019-08-11 13:00:00	8.77	protein_hull_L2
2020-02-09 09:00:00	32.71	protein_beans_L2
2018-11-11 13:00:00	0.25	fat_white_meal_L2
2019-10-11 05:00:00	1.05	fat_hull_L1
2020-06-14 05:00:00	9.13	protein_hull_L2
2019-11-18 17:00:00	33.45	protein_beans_L2
2019-07-07 13:00:00	1.21	fat_hull_L1
2019-05-26 13:00:00	19.85	fat_beans
2020-03-30 03:00:00	11.89	moisture_beans
2020-02-23 03:00:00	8.25	moisture_white_meal_L1
2019-11-10 03:00:00	21.435	fat_beans
2019-04-24 01:00:00	9.48	moisture_finished_meal_L1
2020-02-11 21:00:00	3.27	fiber_finished_meal_L2
2019-07-29 01:00:00	1.25	fat_hull_L1
2020-02-24 15:00:00	11.51	moisture_beans_L2
2019-05-22 11:00:00	9.06	moisture_white_meal_L1
2020-04-29 07:00:00	10.98	moisture_finished_meal_L1
2019-06-30 05:00:00	20.67	fat_beans_L1
2019-09-01 23:00:00	1.05	fat_finished_meal_L2
2019-10-28 11:00:00	1.23	fat_finished_meal_L1
2019-10-19 13:00:00	34.16	protein_beans
2019-10-28 01:00:00	1.33	fat_finished_meal_L2
2019-07-07 21:00:00	20.41	fat_beans_L1
2019-08-21 21:00:00	8.32	moisture_white_meal_L2
2019-01-16 21:00:00	22.04	fat_beans_L1
2020-01-07 01:00:00	10.23	moisture_finished_meal_L1
2019-12-04 07:00:00	1.14	fat_hull_L2
2020-04-01 17:00:00	8.61	protein_hull_L1
2019-01-16 23:00:00	0.65	fat_white_meal_L1
2019-10-22 09:00:00	11.595	moisture_beans
2020-06-09 17:00:00	5.81	moisture_white_meal_L2
2019-05-12 21:00:00	0.43	fat_white_meal_L1
2019-04-14 07:00:00	20.82	fat_beans_L1
2019-12-09 17:00:00	11.1	moisture_finished_meal_L1
2019-08-28 11:00:00	8.98	moisture_white_meal_L1
2020-03-28 03:00:00	32.85	protein_beans_L1
2019-08-24 19:00:00	3.44	fiber_finished_meal_L2
2020-05-13 11:00:00	0.44	fat_white_meal_L1
2019-06-25 23:00:00	20.655	fat_beans
2019-05-25 23:00:00	34.42	protein_beans_L1
2019-07-18 23:00:00	46.88	protein_finished_meal_L2
2019-10-25 19:00:00	0.44	fat_white_meal_L1
2019-11-18 01:00:00	10.56	moisture_finished_meal_L1
2019-07-01 09:00:00	3.66	fiber_finished_meal_L1
2020-02-26 03:00:00	6.7	moisture_hull_L1
2019-05-05 07:00:00	32.76	protein_beans_L2
2019-11-15 13:00:00	6.64	moisture_hull_L2
2019-06-28 07:00:00	12.15	moisture_beans
2019-12-01 17:00:00	11.72	moisture_beans_L1
2019-08-13 05:00:00	19.105	fat_beans
2019-12-20 01:00:00	8.29	protein_hull_L1
2019-07-21 03:00:00	11.56	moisture_beans
2019-09-03 01:00:00	19.99	fat_beans
2019-01-22 21:00:00	21.74	fat_beans
2020-03-13 07:00:00	22.15	fat_beans_L1
2019-03-26 15:00:00	11.88	moisture_beans_L1
2019-11-27 15:00:00	20.28	fat_beans_L2
2019-09-12 19:00:00	3.1	fiber_finished_meal_L1
2019-11-14 05:00:00	1.14	fat_finished_meal_L1
2019-10-22 13:00:00	33.5	protein_beans_L1
2019-07-26 17:00:00	8.79	protein_hull_L2
2019-07-29 01:00:00	44.9	protein_finished_meal_L1
2020-04-11 17:00:00	0.45	fat_white_meal_L1
2019-05-07 13:00:00	9.75	moisture_finished_meal_L1
2019-10-05 15:00:00	32.68	protein_beans_L2
2019-03-08 19:00:00	10.95	moisture_beans_L2
2019-07-22 01:00:00	3.12	fiber_finished_meal_L2
2020-02-11 01:00:00	11.92	moisture_beans_L2
2020-01-07 11:00:00	33.38	protein_beans_L1
2019-09-19 13:00:00	9.01	protein_hull_L2
2020-02-20 09:00:00	33.24	protein_beans_L2
2019-06-23 23:00:00	45.89	protein_finished_meal_L1
2020-05-23 19:00:00	1.65	fat_finished_meal_L1
2019-08-31 15:00:00	45.15	protein_finished_meal_L1
2019-03-23 17:00:00	45.42	protein_finished_meal_L1
2019-06-25 11:00:00	35.17	protein_beans_L2
2019-11-22 17:00:00	11.68	moisture_beans_L1
2019-05-23 17:00:00	0.96	fat_hull_L1
2019-07-11 11:00:00	3.18	fiber_finished_meal_L2
2020-02-17 03:00:00	8.76	protein_hull_L1
2019-08-13 05:00:00	9.31	moisture_finished_meal_L1
2019-11-01 01:00:00	8.43	protein_hull_L1
2019-05-25 07:00:00	9.17	protein_hull_L1
2020-02-19 23:00:00	1.74	fat_finished_meal_L2
2018-11-13 23:00:00	0.33	fat_white_meal_L1
2019-12-04 01:00:00	10.04	moisture_finished_meal_L1
2019-11-19 17:00:00	8.62	protein_hull_L1
2020-03-13 23:00:00	21.39	fat_beans
2019-12-12 19:00:00	1.28	fat_finished_meal_L1
2019-04-20 05:00:00	1.54	fat_finished_meal_L2
2019-08-08 03:00:00	19.46	fat_beans_L1
2019-11-29 23:00:00	0.96	fat_hull_L2
2019-07-13 17:00:00	1.12	fat_finished_meal_L1
2019-06-15 13:00:00	9.44	protein_hull_L1
2020-02-23 23:00:00	8.35	moisture_white_meal_L1
2019-11-10 23:00:00	3.08	fiber_finished_meal_L1
2019-11-03 17:00:00	34.15	protein_beans
2019-12-06 03:00:00	21.5	fat_beans_L1
2019-04-05 03:00:00	1.34	fat_finished_meal_L2
2019-05-03 21:00:00	20.54	fat_beans_L2
2019-07-26 13:00:00	8.66	protein_hull_L1
2020-01-12 03:00:00	10.6	moisture_finished_meal_L1
2019-11-25 15:00:00	43.83	protein_finished_meal_L2
2019-10-03 13:00:00	10.31	moisture_white_meal_L2
2020-01-13 13:00:00	11.57	moisture_beans_L2
2019-04-29 03:00:00	10.7	moisture_finished_meal_L1
2020-02-16 17:00:00	2.9	fiber_finished_meal_L1
2019-12-20 07:00:00	1.3	fat_finished_meal_L1
2019-05-22 21:00:00	19.34	fat_beans_L2
2019-01-31 09:00:00	33.04	protein_beans_L2
2019-03-13 11:00:00	8.15	moisture_white_meal_L1
2019-10-24 03:00:00	33.004999999999995	protein_beans
2019-08-26 13:00:00	33.29	protein_beans_L1
2019-08-27 15:00:00	7.27	moisture_white_meal_L2
2019-06-27 05:00:00	35.12	protein_beans
2019-07-07 13:00:00	34.46	protein_beans_L1
2019-11-19 17:00:00	9.66	moisture_finished_meal_L2
2019-08-10 07:00:00	6.93	moisture_white_meal_L1
2019-05-31 19:00:00	19.59	fat_beans
2020-01-23 01:00:00	21.01	fat_beans_L2
2019-12-02 07:00:00	2.76	fiber_finished_meal_L2
2019-04-04 17:00:00	32.7	protein_beans
2019-12-17 09:00:00	0.44	fat_white_meal_L2
2019-10-11 19:00:00	33.65	protein_beans_L2
2019-08-29 01:00:00	1.37	fat_finished_meal_L2
2020-01-19 11:00:00	10.23	moisture_white_meal_L1
2020-03-20 05:00:00	11.75	moisture_beans_L1
2020-05-07 05:00:00	6.71	moisture_white_meal_L2
2020-04-05 17:00:00	11.65	moisture_beans_L2
2019-06-05 23:00:00	9.34	protein_hull_L1
2019-11-25 03:00:00	21.37	fat_beans_L1
2020-03-07 21:00:00	8.8	protein_hull_L2
2019-01-16 19:00:00	0.57	fat_white_meal_L1
2019-05-23 21:00:00	34.075	protein_beans
2019-05-11 09:00:00	3.28	fiber_finished_meal_L1
2020-04-12 19:00:00	11.58	moisture_beans_L2
2019-11-12 17:00:00	21.1	fat_beans_L1
2020-07-11 09:00:00	8.91	protein_hull_L2
2019-10-03 23:00:00	6.81	moisture_white_meal_L1
2020-07-03 03:00:00	8.79	protein_hull_L1
2019-06-17 03:00:00	0.51	fat_white_meal_L1
2019-11-23 17:00:00	44.77	protein_finished_meal_L2
2020-03-12 15:00:00	1.39	fat_hull_L2
2020-05-03 23:00:00	6.94	moisture_hull_L2
2020-02-29 09:00:00	9.61	protein_hull_L2
2020-05-14 05:00:00	3.42	fiber_finished_meal_L2
2019-06-03 17:00:00	34.1	protein_beans_L1
2019-10-21 15:00:00	11.46	moisture_beans
2019-01-26 15:00:00	9.49	moisture_white_meal_L2
2020-01-27 09:00:00	11.67	moisture_beans_L2
2020-05-17 09:00:00	8.66	protein_hull_L1
2018-11-10 01:00:00	0.56	fat_white_meal_L2
2019-09-11 23:00:00	32.77	protein_beans_L2
2019-08-12 13:00:00	8.01	moisture_finished_meal_L2
2020-04-28 23:00:00	0.6	fat_white_meal_L1
2019-11-19 15:00:00	8.94	protein_hull_L1
2019-04-08 09:00:00	11.42	moisture_beans_L2
2019-10-24 11:00:00	9.22	moisture_white_meal_L2
2020-01-08 09:00:00	0.44	fat_hull_L1
2019-02-27 13:00:00	1.4	fat_finished_meal_L1
2020-05-28 13:00:00	6.59	moisture_hull_L2
2019-05-10 21:00:00	20.325	fat_beans
2019-10-21 13:00:00	6.75	moisture_hull_L1
2020-08-11 05:00:00	8.42	protein_hull_L2
2019-05-11 17:00:00	3.3	fiber_finished_meal_L2
2019-10-24 11:00:00	9.0	moisture_white_meal_L1
2020-02-09 15:00:00	3.23	fiber_finished_meal_L2
2020-01-11 23:00:00	6.91	moisture_hull_L1
2018-11-12 09:00:00	21.22	fat_beans_L1
2019-08-05 07:00:00	45.75	protein_finished_meal_L1
2018-11-11 15:00:00	10.6	moisture_finished_meal_L1
2019-05-28 13:00:00	1.06	fat_hull_L2
2019-08-29 07:00:00	0.26	fat_white_meal_L1
2018-11-07 05:00:00	21.11	fat_beans
2019-08-20 17:00:00	0.29	fat_white_meal_L2
2020-05-22 23:00:00	0.57	fat_white_meal_L1
2019-05-11 09:00:00	0.36	fat_white_meal_L1
2019-06-24 09:00:00	1.02	fat_finished_meal_L1
2019-01-16 15:00:00	2.92	fiber_finished_meal_L1
2019-06-09 21:00:00	46.77	protein_finished_meal_L1
2020-08-02 03:00:00	8.49	protein_hull_L1
2020-01-29 13:00:00	11.85	moisture_beans_L1
2019-08-22 01:00:00	19.16	fat_beans_L2
2019-04-02 15:00:00	9.14	moisture_white_meal_L1
2019-04-12 07:00:00	9.07	moisture_white_meal_L1
2019-07-01 17:00:00	35.0	protein_beans_L1
2019-10-09 21:00:00	11.26	moisture_finished_meal_L1
2020-04-13 11:00:00	12.115	moisture_beans
2019-11-30 15:00:00	7.95	moisture_white_meal_L2
2019-09-12 13:00:00	19.78	fat_beans
2019-05-13 11:00:00	12.01	moisture_beans_L2
2018-11-04 01:00:00	20.17	fat_beans_L1
2019-08-28 13:00:00	21.36	fat_beans
2019-09-01 17:00:00	3.01	fiber_finished_meal_L2
2019-09-10 23:00:00	11.82	moisture_beans_L1
2019-11-24 21:00:00	10.68	moisture_beans_L1
2019-07-30 11:00:00	34.21	protein_beans_L1
2019-09-17 01:00:00	7.85	protein_hull_L2
2020-05-22 23:00:00	3.8	fiber_finished_meal_L2
2019-08-07 21:00:00	45.77	protein_finished_meal_L1
2019-09-19 03:00:00	20.19	fat_beans_L2
2019-11-29 01:00:00	33.12	protein_beans
2019-12-05 23:00:00	8.95	protein_hull_L1
2019-06-13 21:00:00	7.01	moisture_hull_L2
2019-05-24 09:00:00	11.97	moisture_beans_L2
2019-04-27 23:00:00	1.07	fat_finished_meal_L2
2019-07-16 09:00:00	7.42	moisture_hull_L2
2019-06-11 05:00:00	1.39	fat_finished_meal_L1
2020-01-24 05:00:00	21.3	fat_beans_L1
2020-01-24 01:00:00	11.85	moisture_beans_L1
2020-01-05 11:00:00	11.6	moisture_beans_L2
2020-04-13 19:00:00	33.635	protein_beans
2019-06-28 09:00:00	34.99	protein_beans_L2
2019-09-16 13:00:00	8.52	protein_hull_L2
2020-02-08 21:00:00	7.92	moisture_white_meal_L1
2019-07-10 05:00:00	19.49	fat_beans_L2
2019-08-04 13:00:00	1.15	fat_finished_meal_L2
2019-07-04 01:00:00	46.35	protein_finished_meal_L1
2020-03-25 01:00:00	33.129999999999995	protein_beans
2019-10-03 01:00:00	12.13	moisture_beans_L2
2020-05-10 03:00:00	8.8	protein_hull_L2
2019-07-03 01:00:00	12.13	moisture_finished_meal_L1
2020-03-20 15:00:00	11.97	moisture_beans
2019-10-21 09:00:00	11.98	moisture_beans_L2
2019-12-02 07:00:00	33.870000000000005	protein_beans
2019-10-11 17:00:00	20.08	fat_beans
2020-04-29 07:00:00	1.51	fat_hull_L1
2019-11-29 11:00:00	1.32	fat_finished_meal_L1
2019-10-20 11:00:00	1.1	fat_hull_L1
2020-03-09 07:00:00	7.77	moisture_white_meal_L1
2019-07-29 15:00:00	34.21	protein_beans_L2
2019-05-17 21:00:00	12.08	moisture_beans_L2
2019-05-27 03:00:00	19.32	fat_beans_L2
2019-11-22 09:00:00	1.39	fat_finished_meal_L1
2020-06-19 19:00:00	1.43	fat_hull_L1
2020-03-27 17:00:00	3.32	fiber_finished_meal_L1
2019-07-26 19:00:00	8.35	moisture_hull_L1
2019-07-22 01:00:00	10.96	moisture_finished_meal_L1
2020-03-11 05:00:00	0.5	fat_white_meal_L2
2020-01-25 15:00:00	33.1	protein_beans_L2
2019-08-19 17:00:00	8.74	protein_hull_L2
2019-10-03 05:00:00	8.72	protein_hull_L2
2019-10-18 01:00:00	44.87	protein_finished_meal_L2
2019-11-22 23:00:00	11.94	moisture_beans
2018-11-06 03:00:00	21.385	fat_beans
2019-11-07 17:00:00	33.26	protein_beans_L2
2019-08-09 03:00:00	1.19	fat_hull_L2
2019-10-22 11:00:00	0.38	fat_white_meal_L2
2019-09-25 07:00:00	10.96	moisture_finished_meal_L1
2019-06-04 13:00:00	19.28	fat_beans_L2
2019-11-19 01:00:00	0.89	fat_hull_L2
2019-04-18 17:00:00	12.06	moisture_beans
2018-11-16 07:00:00	21.42	fat_beans
2019-08-18 19:00:00	34.31	protein_beans_L1
2020-03-20 13:00:00	2.44	fiber_finished_meal_L2
2019-04-17 23:00:00	0.25	fat_white_meal_L1
2019-09-03 23:00:00	1.24	fat_hull_L2
2019-10-24 19:00:00	32.81	protein_beans_L2
2019-08-25 11:00:00	0.51	fat_white_meal_L2
2020-01-16 03:00:00	1.04	fat_finished_meal_L1
2019-05-06 13:00:00	12.03	moisture_beans
2019-10-31 09:00:00	43.48	protein_finished_meal_L1
2020-05-13 17:00:00	46.85	protein_finished_meal_L2
2020-03-22 07:00:00	2.36	fiber_finished_meal_L2
2020-02-09 21:00:00	8.93	protein_hull_L2
2019-10-02 09:00:00	11.69	moisture_beans_L2
2020-02-20 13:00:00	24.36	fat_beans_L1
2019-01-11 03:00:00	11.48	moisture_beans_L2
2019-12-04 05:00:00	10.1	moisture_finished_meal_L2
2020-07-05 07:00:00	1.28	fat_hull_L1
2019-11-01 21:00:00	44.43	protein_finished_meal_L1
2019-05-27 11:00:00	19.01	fat_beans_L1
2020-04-21 13:00:00	10.3	moisture_white_meal_L1
2019-10-28 01:00:00	0.87	fat_hull_L2
2019-10-22 21:00:00	0.9	fat_hull_L1
2020-03-22 19:00:00	11.38	moisture_beans_L1
2019-07-20 07:00:00	10.85	moisture_white_meal_L2
2020-01-19 15:00:00	11.45	moisture_beans_L1
2020-02-01 13:00:00	0.31	fat_white_meal_L1
2019-07-07 19:00:00	0.49	fat_white_meal_L2
2019-08-05 03:00:00	34.5	protein_beans
2019-05-09 03:00:00	19.875	fat_beans
2020-05-31 01:00:00	3.37	fiber_finished_meal_L2
2019-12-04 19:00:00	0.41	fat_white_meal_L1
2020-06-24 21:00:00	8.8	protein_hull_L2
2019-06-27 11:00:00	3.18	fiber_finished_meal_L1
2019-08-21 05:00:00	3.47	fiber_finished_meal_L1
2019-06-18 07:00:00	11.86	moisture_beans_L1
2020-05-10 19:00:00	6.53	moisture_white_meal_L1
2019-12-11 21:00:00	7.87	moisture_white_meal_L2
2020-04-01 03:00:00	45.59	protein_finished_meal_L1
2019-07-25 09:00:00	34.56	protein_beans_L1
2019-09-19 03:00:00	0.35	fat_white_meal_L2
2019-04-22 23:00:00	8.18	moisture_white_meal_L2
2020-02-11 13:00:00	8.9	protein_hull_L2
2019-09-22 05:00:00	0.41	fat_white_meal_L1
2019-12-08 09:00:00	1.06	fat_hull_L1
2020-01-21 21:00:00	8.82	moisture_white_meal_L1
2020-02-14 13:00:00	20.05	fat_beans_L2
2019-07-07 19:00:00	6.76	moisture_white_meal_L2
2018-11-19 11:00:00	9.78	moisture_finished_meal_L1
2019-08-12 01:00:00	8.73	protein_hull_L2
2019-06-10 21:00:00	20.03	fat_beans_L1
2020-03-30 03:00:00	33.46	protein_beans_L1
2019-08-16 11:00:00	11.38	moisture_beans_L2
2020-07-04 15:00:00	9.01	protein_hull_L1
2020-02-09 23:00:00	10.21	moisture_white_meal_L1
2019-11-05 05:00:00	33.235	protein_beans
2020-03-11 09:00:00	12.1	moisture_beans
2019-06-30 17:00:00	9.17	moisture_white_meal_L2
2019-03-25 23:00:00	11.64	moisture_beans
2019-09-30 03:00:00	33.48	protein_beans_L2
2019-07-21 03:00:00	18.73	fat_beans_L2
2020-02-27 23:00:00	1.13	fat_finished_meal_L1
2019-06-03 23:00:00	7.0	moisture_hull_L1
2019-11-19 01:00:00	6.94	moisture_hull_L2
2020-03-27 15:00:00	10.98	moisture_beans_L1
2019-12-09 21:00:00	0.95	fat_hull_L2
2019-11-29 17:00:00	8.84	protein_hull_L1
2019-08-09 15:00:00	1.29	fat_finished_meal_L1
2019-03-17 17:00:00	32.58	protein_beans
2019-04-20 03:00:00	32.31	protein_beans
2020-06-09 11:00:00	1.15	fat_hull_L1
2019-08-23 07:00:00	33.01	protein_beans
2019-10-31 09:00:00	6.82	moisture_hull_L1
2019-06-27 11:00:00	8.97	protein_hull_L1
2019-08-03 11:00:00	0.48	fat_white_meal_L2
2019-04-06 21:00:00	22.02	fat_beans_L2
2019-08-25 09:00:00	11.96	moisture_beans_L1
2019-04-05 19:00:00	33.58	protein_beans_L1
2019-08-14 21:00:00	34.82	protein_beans_L2
2019-04-15 15:00:00	33.31	protein_beans
2019-08-27 03:00:00	0.4	fat_white_meal_L2
2019-11-06 23:00:00	8.62	protein_hull_L1
2019-11-18 19:00:00	33.465	protein_beans
2020-03-31 11:00:00	21.72	fat_beans_L1
2019-05-24 13:00:00	20.19	fat_beans_L2
2019-04-27 09:00:00	7.04	moisture_white_meal_L1
2019-07-20 03:00:00	11.21	moisture_beans_L1
2019-10-07 17:00:00	45.26	protein_finished_meal_L1
2020-02-08 21:00:00	1.33	fat_hull_L1
2020-05-15 11:00:00	45.73	protein_finished_meal_L1
2019-10-27 21:00:00	33.07	protein_beans_L1
2019-11-29 01:00:00	3.16	fiber_finished_meal_L1
2019-12-15 19:00:00	3.57	fiber_finished_meal_L2
2020-04-12 15:00:00	10.19	moisture_finished_meal_L2
2019-04-07 11:00:00	3.07	fiber_finished_meal_L1
2020-03-15 17:00:00	11.735	moisture_beans
2019-08-19 07:00:00	9.7	moisture_finished_meal_L2
2020-07-04 23:00:00	1.03	fat_hull_L2
2019-03-16 19:00:00	22.03	fat_beans_L1
2019-09-27 07:00:00	20.74	fat_beans_L2
2020-02-25 03:00:00	9.86	moisture_finished_meal_L1
2020-02-15 21:00:00	11.09	moisture_beans
2020-02-18 15:00:00	9.74	moisture_finished_meal_L1
2019-05-21 17:00:00	33.32	protein_beans
2019-12-09 21:00:00	7.68	moisture_white_meal_L2
2019-10-10 01:00:00	10.92	moisture_finished_meal_L1
2019-01-25 17:00:00	10.06	moisture_finished_meal_L1
2019-11-04 23:00:00	19.81	fat_beans
2020-03-15 11:00:00	1.52	fat_finished_meal_L2
2020-02-09 11:00:00	6.84	moisture_hull_L1
2019-07-20 05:00:00	34.34	protein_beans_L2
2020-05-30 19:00:00	0.38	fat_white_meal_L1
2019-10-16 11:00:00	1.14	fat_hull_L1
2019-04-14 19:00:00	1.46	fat_finished_meal_L2
2018-11-14 21:00:00	11.705	moisture_beans
2020-03-31 11:00:00	45.18	protein_finished_meal_L2
2019-11-03 17:00:00	12.14	moisture_beans_L1
2020-04-25 21:00:00	0.46	fat_white_meal_L1
2019-05-31 23:00:00	1.6	fat_finished_meal_L1
2019-11-23 23:00:00	0.29	fat_white_meal_L2
2020-08-16 01:00:00	1.36	fat_hull_L2
2020-04-14 05:00:00	20.39	fat_beans_L1
2019-07-28 13:00:00	8.73	protein_hull_L1
2019-06-15 05:00:00	34.49	protein_beans_L2
